#C=8795,gamma=0.029,epsilon=819,train_percent=0.75
DATA,TARGET,T-12,T0-1,T m norm,P1,P2,P7,P8,P9,P10,P11,P14,P17,T1,T2,T7,T8,T9,T10,T11,T14,T17,E1
4/1/1995,6823.181,8339.414,857.088,7502.885,1870.196,1488.607,1666.210,1317.560,2175.318,1626.060,2041.166,1952.561,3490.432,292.924,294.327,294.370,295.944,294.167,293.310,292.790,293.114,296.110,7360.908
5/1/1995,6493.478,8028.374,1197.504,7224.965,1654.635,1257.871,1437.799,1103.103,2163.386,1540.860,2037.160,1858.791,3431.230,292.964,294.429,294.447,296.067,294.690,293.552,293.005,293.146,296.881,7076.303
6/1/1995,6095.261,7329.312,1336.522,6893.030,1535.891,1162.812,1274.988,997.493,2185.238,1550.966,1944.081,1651.992,3456.601,292.908,294.404,294.426,296.055,294.029,293.190,292.690,293.077,296.005,6823.249
7/1/1995,5490.461,6598.368,1301.184,6313.142,1732.867,1304.487,1351.964,1085.694,2720.853,1921.676,2268.075,1748.510,4138.429,292.969,294.478,294.489,296.106,293.876,293.150,292.621,293.100,295.824,6187.803
8/1/1995,4740.509,5990.371,1489.190,5581.344,1649.104,1259.436,1213.033,1008.682,2755.523,1993.215,2108.327,1514.665,4070.870,293.106,294.627,294.590,296.215,293.955,293.276,292.712,293.179,295.894,5514.703
9/1/1995,5030.726,4927.046,822.269,5130.926,1710.503,1350.470,1248.726,1073.710,2851.738,2140.259,2078.300,1464.403,4107.434,293.005,294.514,294.466,296.075,293.853,293.173,292.623,293.069,295.878,5248.115
10/1/1995,5717.520,4310.669,676.512,5297.318,1910.496,1552.949,1390.250,1226.768,3002.426,2355.796,2150.860,1519.763,4119.451,292.850,294.352,294.315,295.908,293.741,293.033,292.497,292.930,295.848,5878.289
11/1/1995,5987.606,4128.538,867.802,5598.278,1995.041,1672.404,1515.614,1351.753,2978.152,2379.914,2145.939,1563.922,4150.853,292.795,294.248,294.214,295.781,293.837,293.027,292.551,292.880,296.044,6457.515
12/1/1995,6415.286,4157.050,938.304,5955.955,2267.898,1864.995,1845.809,1564.832,2849.051,2263.984,2385.525,1937.617,4171.594,292.726,294.168,294.168,295.719,293.990,293.090,292.548,292.864,296.277,6770.334
1/1/1996,7253.366,4494.528,696.384,6493.589,2171.761,1892.856,1891.649,1636.067,2576.748,2124.151,2009.462,1853.639,3826.255,292.700,294.065,294.089,295.592,294.198,293.160,292.686,292.894,296.488,7002.950
2/1/1996,8222.947,5193.072,739.238,7226.131,2166.961,1851.779,1955.446,1642.483,2422.178,1958.551,2068.564,2031.467,3740.791,292.550,293.893,293.952,295.462,294.171,293.070,292.584,292.754,296.443,7918.083
3/1/1996,8219.318,6181.488,1112.486,7677.758,2043.019,1681.481,1847.829,1498.147,2227.471,1745.111,2056.287,2029.538,3596.266,292.678,294.041,294.105,295.647,294.345,293.277,292.732,292.892,296.452,8187.674
4/1/1996,7667.309,6146.669,1363.306,7502.885,1737.551,1409.719,1582.773,1260.991,2042.319,1526.424,1817.486,1794.304,3353.968,292.735,294.116,294.150,295.726,294.050,293.131,292.583,292.865,296.031,8031.277
5/1/1996,7718.630,5625.677,1137.888,7224.965,1631.280,1265.270,1415.465,1103.509,2212.329,1571.711,1988.922,1789.925,3541.016,292.716,294.164,294.182,295.796,294.363,293.232,292.704,292.877,296.648,7586.722
6/1/1996,7109.510,5156.957,1365.984,6893.030,1549.499,1185.834,1278.012,1013.328,2286.447,1590.809,1982.100,1625.213,3692.477,292.618,294.089,294.128,295.742,293.853,292.951,292.461,292.819,295.902,7437.183
7/1/1996,6525.878,4794.077,1534.464,6313.142,1673.828,1276.652,1291.312,1040.350,2611.391,1871.283,2147.608,1642.151,3988.788,292.725,294.203,294.202,295.818,293.813,292.999,292.464,292.835,295.785,6848.024
8/1/1996,5990.198,4001.270,1708.819,5581.344,1651.295,1298.659,1233.328,1034.937,2728.999,2023.710,2013.625,1482.401,4007.642,292.889,294.346,294.300,295.900,293.912,293.132,292.596,292.937,295.884,6130.570
9/1/1996,5759.510,3918.240,1108.858,5130.926,1707.511,1353.725,1242.484,1062.453,2758.263,2101.267,2032.734,1443.367,3942.391,292.936,294.423,294.362,295.963,293.888,293.168,292.602,292.996,295.902,5514.043
10/1/1996,5864.227,4354.214,811.296,5297.318,1910.562,1550.521,1402.289,1220.863,2920.479,2338.896,2135.172,1541.069,3961.757,292.875,294.362,294.292,295.887,293.830,293.096,292.558,292.921,295.928,5903.629
11/1/1996,5605.546,4849.718,1189.210,5598.278,1850.692,1590.835,1415.310,1287.105,2631.058,2184.880,1886.032,1404.868,3637.111,292.917,294.355,294.299,295.860,294.029,293.194,292.702,292.988,296.220,6268.464
12/1/1996,6597.677,5049.302,756.864,5955.955,1990.273,1790.078,1670.620,1512.667,2497.574,2147.256,1783.168,1536.093,3567.555,292.814,294.197,294.165,295.686,294.180,293.222,292.709,292.915,296.425,6517.431
1/1/1997,6846.941,5718.902,950.832,6493.589,2015.501,1761.596,1760.448,1525.047,2234.930,1884.280,1850.449,1742.274,3356.170,292.705,294.089,294.129,295.646,294.194,293.153,292.655,292.885,296.567,7133.144
2/1/1997,7789.738,6514.128,1173.139,7226.131,1978.618,1726.683,1781.908,1514.723,2054.084,1737.408,1770.169,1778.521,3228.797,292.684,294.034,294.081,295.603,294.456,293.258,292.753,292.876,296.939,7810.509
3/1/1997,8183.808,7110.461,878.170,7677.758,1799.781,1540.372,1633.232,1364.063,1824.258,1509.498,1603.621,1650.365,3000.095,292.785,294.141,294.205,295.753,294.691,293.479,292.862,293.010,297.207,7963.206
4/1/1997,7845.811,6856.013,916.013,7502.885,1590.450,1328.402,1463.527,1186.276,1644.792,1301.086,1475.396,1571.331,2748.218,292.863,294.303,294.334,295.965,294.679,293.541,292.910,293.136,297.165,7493.762
5/1/1997,7458.998,6529.421,930.528,7224.965,1455.378,1195.713,1339.041,1076.779,1703.654,1254.629,1508.110,1533.338,2917.590,293.004,294.521,294.534,296.218,294.615,293.375,292.862,292.977,297.120,6863.486
6/1/1997,6324.307,6352.646,1748.995,6893.030,1209.583,931.755,992.473,796.955,1838.102,1299.113,1429.619,1224.743,3048.960,293.131,294.681,294.700,296.402,294.613,293.569,292.961,293.280,297.035,6587.718
7/1/1997,5611.680,5575.046,1200.096,6313.142,1111.026,875.688,862.639,717.045,1823.924,1344.100,1268.054,1017.516,2895.615,293.364,294.929,294.911,296.633,294.827,293.778,293.171,293.466,297.386,5299.359
8/1/1997,3806.438,4817.059,2115.936,5581.344,1080.992,860.326,817.863,698.989,1898.417,1430.460,1269.241,980.897,2908.490,293.669,295.202,295.165,296.851,295.027,294.061,293.439,293.758,297.433,4694.399
